id,title,company,industry,location,salary,employment_type,experience,education,posted_date,closing_date,contact_email,contact_phone,apply_instructions,description,requirements,url,source
38033,"Project Assistant – Health Promotion in School, and Library Project Staff",World Share Cambodia,N/A,N/A,Negotiable,N/A,N/A,N/A,N/A,16-Jan-2026,TO:worldshare.kh22@gmail.com,097 460 6685,N/A,"World Share
is
an international non-governmental organization (NGO)
working
to improve
the
lives
of
children through health, sanitation,
and
education programs.","17100402-1217, Wat Svay, Sala Kamreuk Sangkat, Siem Reap Municipality, Siemreap Province, Cambodia",https://www.bongthom.com/job_detail/project_assistant_health_promotion_in_sc_38033.html,BongThom
38032,មន្ត្រីសហគមន៍,Reproductive Health Association of Cambodia,N/A,N/A,Negotiable,N/A,N/A,N/A,N/A,31-Jan-2026,TO:hr@rhac.org.kh,023 882 046,N/A,រ៉ា​ក់ធ្វើការ​ផ្នែក​សុខភាព​ស្រ្តី សុខភាព​ផ្លូវ​ភេទ​ បន្ត​ពូជ​ និង​សិទ្ធិ​ ។ យើង​ធ្វើការ​ជាមួយ​ស្ត្រី​ យុវវ័យ​ និង​ក្រុម​ងាយ​រងគ្រោះ​នានា​ក្នុង​ទីប្រជុំជន​ និង​ក្នុង​ទី​ជនបទ​ ចំនួន​១៩ ខេត្ត​ ក្រុង​ ក្នុង​ប្រទេសកម្ពុជា​។,"#138, St. 2009, Sangkat Tuek Thla, Khan Sen Sok, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/view_detail_38032.html,BongThom
38030,"បុគ្គលិកអភិបាល, អ្នកផ្តល់ប្រឹក្សាតាមរយៈអនឡាញ,  និង អ្នកអប់រំផ្ទាល់",Cambodian Women for Peace and Development,N/A,N/A,Negotiable,N/A,N/A,N/A,N/A,15-Jan-2026,TO:info@cwpd.net,010 710 222,N/A,សមាគម​នារី​កម្ពុជា​ដើម្បី​សន្តិភាព​និង​អភិវឌ្ឍន៍​ (CWPD) ជា​អង្គការ​មិនមែន​រដ្ឋាភិបាល​កំពុង​អនុវត្ត​ កម្មវិធី​លើក​កម្ពស់​សុខភាព​ និង​ការ​អភិវឌ្ឍ​សហគមន៍​ជាមួយនឹង​បេសកកម្ម​ “លើក​កម្ពស់​ស្ថានភាព​ស្រ្តីនៅ​ក្នុង​ប្រទេសកម្ពុជា​ដោយ​បង្កើន​ការ​ជឿ​ទុកចិត្ត​លើស​មត្ថភាព​ខ្លួនឯង​ ដើម្បី​ក្លាយ​ជា​អ្នកដឹកនាំ​ ដែល​មាន​ភាព​ម្ចាស់ការ​ និង​មាន​សិទ្ធិ​ទទួល​បាន​ដោយ​សមធម៌​នូវ​ធនធាន​ និង​ផលប្រយោជន៍​ពី​គ្រប់ការ​ចូលរួម​យ៉ាងសកម្ម​ក្នុង​សកម្មភាព​សង្គម​ វប្បធម៌​ សេដ្ឋកិច្ច​ និង​នយោបាយ​នៅ​ថ្នាក់​ជាតិ​ ថ្នាក់ក្រោម​ជាតិ​ និង​អន្តរជាតិ​” ។,"#128 D9-D10, St. Sothearos, Sangkat Tonle Basak, Khan Chamkar Mon, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/view_detail_38030.html,BongThom
38024,Skills Development Specialist,Skills Development Fund,N/A,N/A,Negotiable,N/A,N/A,N/A,N/A,16-Jan-2026,TO:info@sdfcambodia.org,N/A,N/A,"The
Skills
Development Fund (SDF)
project
has been piloted by
the
Ministry
of
Economy
and
Finance (MEF) since March 2018
to
test
a
new
and
innovative financing mechanism
in
order
to
promote demand-driven
and
sustainable
skills
development
with
the ultimate objectives
of
diversifying
and
increasing value addition
of
Cambodia’s Economy
as
well
as
creating better
and
well-paid jobs
for
Cambodian citizens.
As
a result,
the
SDF has approved 169 training
projects
in priority sectors such
as
Manufacturing, Construction, ICT, Electronics, Automotive,
and
Tourism amount 14.28 million USD worth
of
training grants
for
32,826 trainees (34% female) under
the
cost-sharing
and
joint-training model between industry
and
training providers (public, private
and
NGO). Training outcomes include 4% dropout, 88% employment, 85% employers’ satisfaction,
the
salary
of
graduate average
of
$246.
This
demand-driven model has strongly been welcomed by
the
market
and
development partners
and
has proven
to
be
an
effective
and
efficient model
in
transforming
the
training
market
into
a
demand-responsive
and
sustainable
skills
development.","8th Floor, BDC Building, OCIC Blvd, Sangkat Chroy Changvar, Khan Chroy Changvar, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/skills_development_specialist_38024.html,BongThom
38028,Project Coordinator,"Ministry of Agriculture, Forestry and Fisheries",N/A,N/A,Negotiable,N/A,N/A,N/A,N/A,15-Jan-2026,TO:huotlong@gmail.com,N/A,N/A,"We
are
now looking
for
qualified
candidate
to fulfill
the
position below:","# 200, Preah Norodom Blvd., Sangkat Tonle Basak, Khan Chamkar Mon, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/project_coordinator_38028.html,BongThom
38026,"Project Manager, MEP Designer, and Procurement Officer",Urgent,N/A,N/A,Negotiable,N/A,N/A,N/A,N/A,31-Jan-2026,TO:sokun.hr1@gmail.com,081 555 411,N/A,"HENG LENG Comfort Project
is
concept
from
international expert
and
tendency
of
our
new
generation
to
live
with
new technologies
and
less impact
to
our environment. Our CEO vision want
to
lift up construction industry
to
be
the
best standard that can compete
with
others","#16S, Str. 200R, Kilo Met 6, Khan Russey Keo, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/project_manager_mep_designer_and_procure_38026.html,BongThom
38005,"មន្ត្រីអភិវឌ្ឍន៍ទីផ្សារ និងគាំទ្របច្ចេកទេស, មន្ត្រីអភិវឌ្ឍន៍ទីផ្សារ និងគាំទ្របច្ចេកទេសបន្លែក្នុងផ្ទះសំណាញ់","K S Seed Co., Ltd.",N/A,N/A,Negotiable,N/A,N/A,N/A,N/A,31-Jan-2026,TO:ksseed.info@gmail.com,093 755 638,N/A,"ក្រុមហ៊ុន​
ខេ​អេស ស៊ី​ដ
ជា​ក្រុមហ៊ុន​គ្រាប់​ពូជ​បន្លែ​ដែល​បង្កើត​ឡើង​ដោយ​ជនជាតិ​ខ្មែរ​និង​ចរាចរណ៍​ គ្រាប់​ពូជ​បន្លែ​ក្នុង​ប្រទេសខ្មែរ​។
ខេ​អេស ស៊ី​ដ
បាន​ចុះ​បញ្ជិកា​ពាណិជ្ជកម្ម​ក្រុមហ៊ុន​ក្នុង​ឆ្នាំ​២០២២ ដើម្បី​ វេច​ខ្ចប់​និង​កំពុង​មាន​ផែនការ​ធ្វើការ​ផលិតផល​ពូជ​បន្លែ​សាកល្បង​ដែល​អាជីវកម្ម​ជា​ប្រ​ព័ន្ឋ អេកូឡូស៊ី ( ពី​អ្នកស្រាវជ្រាវ​ កិច្ចសន្យា​ផល​ក្នុងស្រុក​ និង​វេច​ខ្ចប់​ក្នុងស្រុក​) ក្នុងស្រុក​ ដែល​មាន​ទិសដៅ​ធានា​ដល់​ តុល្យភាព​នៃ​ការប្រើប្រាស់​ពូជ​បន្លែ​ក្នុងស្រុក​ខ្មែរ​និង​នាំចេញ​គ្រាប់​ពូជ​បន្លែ​ខ្មែរ​។","#Borey Piphup Thmey Boeung Chhouk, No 313, Street D, Krang Angkrang, Sangkat Krang Thnong, Khan Sen Sok, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/view_detail_38005.html,BongThom
38020,Automative Oil Sales Executive,"TotalEnergies Marketing (Cambodia) Co., Ltd.",N/A,N/A,Negotiable,N/A,N/A,N/A,N/A,31-Jan-2026,TO:sm-kh.hr@totalenergies.com,N/A,N/A,"TotalEnergies Marketing (Cambodia) Co., Ltd.
is
an affiliate
of
TotalEnergies,
a
broad energy company that produces
and
markets energies
on
a global scale: oil
and
biofuels, natural gas
and
green gases, renewables
and
electricity. Our 105,000 employees
are
committed
to
energy that
is
ever
more
affordable, clean, reliable
and
accessible
to
as many people
as
possible. Active
in
more than 130 countries, TotalEnergies puts sustainable
development
in
all
its dimensions
at
the heart
of
its
projects
and
operations
to contribute
to
the well-being
of
people.","ANINA Building 6th Floor, No 240, St. 271, B.P600, 12351, Sangkat Boeng Tumpun, Khan Mean Chey, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/automative_oil_sales_executive_38020.html,BongThom
38021,Project Manager,"TotalEnergies Marketing (Cambodia) Co., Ltd.",N/A,N/A,Negotiable,N/A,N/A,N/A,N/A,31-Jan-2026,TO:sm-kh.hr@totalenergies.com,N/A,N/A,"TotalEnergies Marketing (Cambodia) Co., Ltd.
is
an affiliate
of
TotalEnergies,
a
broad energy company that produces
and
markets energies
on
a global scale: oil
and
biofuels, natural gas
and
green gases, renewables
and
electricity. Our 105,000 employees
are
committed
to
energy that
is
ever
more
affordable, clean, reliable
and
accessible
to
as many people
as
possible. Active
in
more than 130 countries, TotalEnergies puts sustainable
development
in
all
its dimensions
at
the heart
of
its
projects
and
operations
to contribute
to
the well-being
of
people.","ANINA Building 6th Floor, No 240, St. 271, B.P600, 12351, Sangkat Boeng Tumpun, Khan Mean Chey, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/project_manager_38021.html,BongThom
38023,Depot Engineer/HSSE,"TotalEnergies Marketing (Cambodia) Co., Ltd.",N/A,N/A,Negotiable,N/A,N/A,"Engineering Degree, mechanical/electrical/civil engineer is preferred",N/A,31-Jan-2026,TO:sm-kh.hr@totalenergies.com,N/A,N/A,"TotalEnergies Marketing (Cambodia) Co., Ltd.
is
an affiliate
of
TotalEnergies,
a
broad energy company that produces
and
markets energies
on
a global scale: oil
and
biofuels, natural gas
and
green gases, renewables
and
electricity. Our 105,000 employees
are
committed
to
energy that
is
ever
more
affordable, clean, reliable
and
accessible
to
as many people
as
possible. Active
in
more than 130 countries, TotalEnergies puts sustainable
development
in
all
its dimensions
at
the heart
of
its
projects
and
operations
to contribute
to
the well-being
of
people.","ANINA Building 6th Floor, No 240, St. 271, B.P600, 12351, Sangkat Boeng Tumpun, Khan Mean Chey, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/depot_engineer_hsse_38023.html,BongThom
38018,Independent Consultant for CHAI -Costing and Financial Analysis Consultant for HIV Program NSP,Clinton Health Access Initiative - CHAI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15-Jan-2026,TO:cambodiaoffice@clintonhealthaccess.org,023 212 110,N/A,"The Clinton Health Access Initiative, Inc. (CHAI)
is
a global health organization committed
to
our mission
of
saving lives
and
reducing
the
burden
of
disease
in
low-and middle-income countries. We
work
at
the
invitation
of
governments
to
support
them
and
the
private sector
to
create
and
sustain high-quality health systems.
For
more information, please visit:
the link","#93, SI Net Building, 3rd floors St. 252,, Sangkat Chakto Mukh, Khan Doun Penh, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/independent_consultant_for_chai_costing_38018.html,BongThom
38017,"Senior Program Manager, PHC and Integration",Clinton Health Access Initiative - CHAI,N/A,N/A,Negotiable,N/A,N/A,N/A,N/A,19-Jan-2026,TO:recruitment@clintonhealthaccess.org,N/A,N/A,"The Clinton Health Access Initiative, Inc. (CHAI)
is
a global health organization committed
to
our mission
of
saving lives
and
reducing
the
burden
of
disease
in
low-and middle-income countries. We
work
at
the
invitation
of
governments
to
support
them
and
the
private sector
to
create
and
sustain high-quality health systems.","#93, SI Net Building, 3rd floors St. 252,, Sangkat Chakto Mukh, Khan Doun Penh, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/senior_program_manager_phc_and_integrati_38017.html,BongThom
38019,Finance & Admin Assistant,Child Rights Coalition Cambodia (CRC-Cambodia),N/A,N/A,$150 - $200,N/A,N/A,N/A,N/A,19-Jan-2026,TO:info@crc-cambodia.org,023 882 412,N/A,"We
are
looking
for
qualified
candidate
to
fill
for
the
position below.","#8A, Street 138, Sangkat Veal Vong, Khan Prampir Meakkakra, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/finance_admin_assistant_38019.html,BongThom
38022,Receptionist,Animal Doctors International - Cambodia,N/A,N/A,$300 - $400 Negotiable + Other Benefits + Based on Experience,N/A,N/A,N/A,N/A,31-Jan-2026,TO:jobs@theanimaldoctors.org,092 552 832,N/A,"We
are
now looking
for
qualified
candidate
to fulfill
the
Fulltime
position
below
for
immediate start:","Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/receptionist_38022.html,BongThom
38015,Various Positions,LOLC (Cambodia) Plc.,N/A,N/A,Negotiable,N/A,N/A,N/A,N/A,15-Jan-2026,TO:recruitment@lolc.com.kh,096 421 1999,N/A,"LOLC (CAMBODIA) Plc.
is one
of
the top licensed microfinance institutions
in
Cambodia
with
a social vision
and
a
business
orientation that provides entrepreneurs
and
families
at
the
base
of
the
socio-economic pyramid
with
economic opportunities
to
transform
the
quality
of
their lives
and
their communities through
the
provision
of
effective
and
sustainable client-empowering financial services.
To
support
the rapid growth
of
our operations, LOLC
is
recruiting
the
following positions
:","# 666B, Street 271, Sangkat Boeng Tumpun 2, Khan Mean Chey, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/various_positions_38015.html,BongThom
38014,Call For Expression Of Interest for Promoting the Mergers and Acquisitions (M&A) in the Piped Water Supply Sector,Branch of Cowater International Inc.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30 January 2026,TO:procurement@capred.org,N/A,N/A,"The CAPRED Facility
is
Australia's flagship bilateral economic
development
program
in
Cambodia, focusing
on
economic recovery
and
resilience until 2027,
with
a possible three-year extension. Funded by
the
Department
of
Foreign Affairs
and
Trade (DFAT)
and
implemented by Cowater International, CAPRED supports
Cambodia
in implementing
a
range
of
important economic reforms
to
support
the
country's economic transition. These interventions
and
reforms aim
to
encourage
more
productive
and
inclusive public
and
private investment, promoting
a
resilient, inclusive,
and
sustainable economy (RISE).","#GIA Tower G (G1701-G1710) Koh Pich City, 17th Floor, Sopheak Mongkol Rd, Sangkat Tonle Basak, Khan Chamkar Mon, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/call_for_expression_of_interest_for_prom_38014.html,BongThom
38013,"Finance for Project Implementation, and Backend Developer","Solar Green Energy (Cambodia) Co., Ltd.",N/A,N/A,$400 - $450,N/A,N/A,N/A,N/A,15-Jan-2026,TO:info@sogecambodia.com,N/A,N/A,"Solar Green Energy (Cambodia) Co., Ltd called “SOGE”, registered
in
December 2013
to
work
in
the Renewable Energy Sector, especially
in
the Solar Energy field, aims
to
increase
the
use
of
green energy
in
an area
of
Cambodia. SOGE,
a
private company specializing
in
clean energy products, has identified three main challenges
in
Cambodia. Firstly, 80%
of
people
in
rural areas lack access
to
clean energy
or
the grid. Secondly,
the
cost
of
electricity
in
Cambodia
is
higher compared
to
neighboring countries. Lastly, there
is
a
high
cost associated
with
water
for
agricultural irrigation due
to
outdated pumping techniques that rely
on
fossil fuels, leading
to
CO2 emissions.
For
nearly 20 years, SOGE has been actively addressing these issues by promoting clean energy technologies
and
supporting smallholder farmers. SOGE’s efforts have resulted
in
increased productivity, cost savings, improved income generation,
and
overall well-being
of
farmers.","No 437 St. Rada (Down from street 598), Sangkat Phnom Penh Thmei, Khan Sen Sok, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/finance_for_project_implementation_and_b_38013.html,BongThom
38012,"Quality Control, Sales Representative, and Packing Staff","Buymed (Cambodia) Co., Ltd.",N/A,N/A,Negotiable,N/A,N/A,N/A,N/A,"Able to work independently, manage time effectively, and perform well under pressure to meet strict deadlines.",TO:career.kh@buymed.com,011 606 867,N/A,"Founded
in
2018, Buymed
is
Southeast Asia’s leading healthtech company, dedicated
to
transforming healthcare distribution. Through our innovative e-commerce platform, we connect pharmaceutical manufacturers, distributors,
and
healthcare providers, ensuring
the
fast, reliable,
and
efficient delivery
of
medicines
and
medical supplies.","Warehouse No. 6, Street 528, Phum 2, Sangkat Boeng Kak Ti Muoy, Khan Tuol Kouk, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/quality_control_sales_representative_and_38012.html,BongThom
38010,Personal Trainer,"Grace Hospitality Co., Ltd.",N/A,N/A,Based on the experience (competitive salary),N/A,N/A,N/A,N/A,29-Jan-2026,TO:Kong.Chhen@tui-blue.com,095 473 808,N/A,"Tui Blue Angkor Grace
is
a luxury wellness resort
in
Siem Reap, offering spacious suites,
a
tranquil natural setting,
and
holistic
facilities
designed
for
relaxation, fitness,
and
well-being. We
are
committed
to
delivering exceptional guest experiences through personalized service, health-focused programs,
and
a supportive team culture.","Sala Kanseng, Svay Dankum Sangkat, Siem Reap Municipality, Siemreap Province, Cambodia",https://www.bongthom.com/job_detail/personal_trainer_38010.html,BongThom
38011,Invitation to Bidding for Project SME Fundraising 2026 Program,Khmer Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,KE to invite implementers/partners for a detailed project briefing after the closing date. The session will provide a detailed description of the implementation to meet the main program objectives.,N/A,N/A,N/A,"“SME Fundraising”
aims
to
strengthen SMEs’ ability
to
access finance by improving
the
quality
and
credibility
of
their
business
and financial information,
and
by connecting qualified SMEs
with
relevant capital providers.
The
program supports SMEs
to
organize verifiable records, develop practical investment toolkits,
and
progress into curated engagements
with
banks, MFIs,
and
investors—resulting
in
trackable financing pipelines
and
documented outcomes within
the
program cycle.","Business Development Center (BDC) Building, 9th Floor, OCIC Blvd, Sangkat Chroy Changvar, Khan Chroy Changvar, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/invitation_to_bidding_for_project_sme_fu_38011.html,BongThom
38009,Invitation to Bidding for Project Palm Sugar Value Chain Enhancement Program,Khmer Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,KE to invite implementers/partners for a detailed project briefing after the closing date. The session will provide a detailed description of the implementation to meet the main program objectives.,N/A,N/A,N/A,"“Palm sugar value chain enhancement program”
aims
to
strengthen
the
palm sugar value chain by addressing key challenges
related
to farmer safety,
product
quality,
and
market access.
The
program focuses
on
improving
the
working conditions
of
palm tree climbers, enhancing
the
consistency
and
safety
of
palm sugar production,
and
increasing
the
visibility
and
competitiveness
of
palm sugar
in
domestic
and
international markets. Through targeted technical, capacity-building,
and
market-oriented interventions,
the
program seeks
to
support sustainable growth
of
the palm sugar processing industry.","Business Development Center (BDC) Building, 9th Floor, OCIC Blvd, Sangkat Chroy Changvar, Khan Chroy Changvar, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/invitation_to_bidding_for_project_palm_s_38009.html,BongThom
